0	130
0	74
0	245
0	554
1	538
1	412
1	325
1	172
1	189
1	300
1	495
1	409
1	410
1	572
2	360
2	191
2	417
2	504
2	401
2	388
2	398
2	344
2	511
2	290
4	150
4	164
4	74
4	158
4	550
4	274
4	176
6	159
6	109
6	59
6	346
6	574
6	28
6	29
6	134
6	236
6	359
6	12
6	234
6	235
6	482
7	292
7	437
7	113
7	435
7	174
7	519
7	410
7	211
7	258
7	337
7	65
7	520
7	400
7	515
7	82
7	436
7	200
9	445
9	203
10	305
10	454
10	26
10	125
10	437
10	310
10	250
10	435
10	95
10	410
10	3
10	556
10	412
10	431
10	65
10	123
10	300
10	299
12	460
12	464
12	564
12	459
12	342
12	384
13	2
14	26
14	280
14	248
14	27
14	395
15	353
15	318
15	469
15	465
15	552
15	342
16	171
16	218
16	393
16	570
16	184
16	240
16	568
16	377
16	474
16	85
16	136
16	294
16	179
16	392
16	126
16	345
16	124
16	241
17	93
17	208
17	86
17	106
17	209
17	45
17	162
17	13
17	311
17	542
17	89
17	99
17	382
17	537
17	43
17	88
17	380
17	149
17	75
17	47
17	15
17	371
17	264
17	439
17	503
17	35
17	182
17	418
17	169
17	430
17	177
17	111
17	55
17	193
17	447
17	161
17	267
17	142
17	72
17	2
17	57
17	76
17	571
17	39
17	381
17	105
17	56
17	107
17	192
17	494
18	135
18	225
18	74
18	252
18	357
18	507
18	2
18	76
18	103
18	298
18	392
18	68
18	554
19	326
19	8
19	370
19	507
19	234
19	403
19	118
19	251
19	404
19	195
21	86
21	343
21	421
21	240
21	373
21	288
21	395
21	103
21	424
21	499
21	168
21	379
21	500
21	241
23	222
24	462
24	103
24	134
24	136
24	445
24	420
25	186
25	570
25	184
25	274
25	349
25	534
25	568
25	191
25	415
25	185
25	17
25	377
25	560
25	149
25	188
25	488
25	1
25	179
25	392
25	228
25	452
27	191
27	243
27	474
27	432
28	324
28	454
28	125
28	310
28	455
28	520
28	210
28	259
28	291
29	329
29	471
29	464
29	506
29	551
29	547
29	472
29	561
29	473
29	227
29	232
29	75
29	533
30	408
30	232
30	506
